entity,payload
book,978-7302598980|C++ Primer Plus|Stephen Prata|人民邮电出版社|2021|Programming|7|0|0|0|2025-12-27|2026-01-11|
book,978-7121360985|Effective Modern C++|Scott Meyers|机械工业出版社|2019|Programming|2|0|0|0|2025-12-27|2025-12-27|
book,978-0131103627|The C Programming Language|Kernighan & Ritchie|Prentice Hall|1988|Programming|23|0|0|0|2025-12-27|2026-01-11|
book,978-0262033848|Introduction to Algorithms|CLRS|MIT Press|2009|Algorithms|5|0|0|0|2025-12-27|2025-12-27|
book,978-0596007126|Head First Design Patterns|Eric Freeman|O'Reilly Media|2004|Design|1|0|0|0|2025-12-27|2025-12-27|
book,978-5555555555|元编程指南|王凯|人民邮电出版社|2022|编程范式|0|0|0|0|2025-12-27|2025-12-27|
book,978-7777777777|零库存测试图书|赵云|高校出版社|2025|测试用书|38|0|0|0|2025-12-27|2026-01-11|
reader,"R001|Alice|13800000011|alice_new@example.com|北京市朝阳区|25|7|1|0|1970-01-01|600|2025-12-27|2026-01-11|5|978-7302598980|978-7302598980,978-0131103627,978-0131103627,978-0131103627,978-0131103627|978-5555555555"
reader,"R002|Bob|13800000002|bob@example.com|上海市浦东新区|30|6|1|0|1970-01-01|600|2025-12-27|2025-12-27|3|978-0262033848,978-7121360985,978-5555555555|978-0262033848,978-7121360985,978-5555555555|"
reader,R003|Charlie|13800000003|charlie@example.com|广州市天河区|22|4|1|0|1970-01-01|600|2025-12-27|2025-12-27|1|978-0596007126|978-0596007126|
borrow,BR-1|R001|978-7302598980|2025-12-27|2026-01-10||17|0|0.000000
borrow,BR-2|R002|978-0262033848|2025-12-27|2026-01-13||17|0|0.000000
borrow,BR-3|R002|978-7121360985|2025-12-27|2026-01-10||17|0|0.000000
borrow,BR-4|R003|978-0596007126|2025-12-27|2026-01-10||17|0|0.000000
borrow,BR-5|R002|978-5555555555|2025-12-27|2026-03-21||17|3|0.000000
borrow,BR-6|R001|978-0131103627|2025-12-28|2026-01-18|2025-12-28|15|0|0.000000
borrow,BR-7|R001|978-0131103627|2025-12-28|2026-01-18|2025-12-28|17|0|0.000000
borrow,BR-8|R001|978-0131103627|2026-01-11|2026-02-01|2026-01-11|19|0|0.000000
borrow,BR-9|R001|978-0131103627|2026-01-11|2026-02-01|2026-01-11|21|0|0.000000
